2025-08-19 22:43:52,035 INFO [探索] matcha cafe WA | start=1
2025-08-19 22:43:52,068 INFO [探索] matcha cafe IL | start=1
2025-08-19 22:43:52,068 INFO [探索] matcha cafe IL | start=11
2025-08-19 22:43:52,068 INFO [探索] matcha cafe IL | start=21
2025-08-19 22:43:52,069 INFO [探索] matcha latte cafe FL | start=1
2025-08-19 22:43:52,069 INFO [探索] matcha latte cafe FL | start=11
2025-08-19 22:43:52,069 INFO [探索] matcha latte cafe FL | start=21
2025-08-19 22:43:52,069 INFO [探索] matcha cafe FL | start=1
2025-08-19 22:43:52,069 INFO [探索] matcha cafe FL | start=11
2025-08-19 22:43:52,069 INFO [探索] matcha cafe FL | start=21
2025-08-19 22:43:52,069 INFO [探索] matcha latte cafe CA | start=1
2025-08-19 22:43:52,069 INFO [探索] matcha latte cafe CA | start=11
2025-08-19 22:43:52,069 INFO [探索] matcha latte cafe CA | start=21
2025-08-19 22:43:52,069 INFO [探索] matcha cafe CA | start=1
2025-08-19 22:43:52,069 INFO [探索] matcha cafe CA | start=11
2025-08-19 22:43:52,069 INFO [探索] matcha cafe CA | start=21
2025-08-19 22:43:52,070 INFO [探索] matcha latte cafe NY | start=1
2025-08-19 22:43:52,070 INFO [探索] matcha latte cafe NY | start=11
2025-08-19 22:43:52,070 INFO [探索] matcha latte cafe NY | start=21
2025-08-19 22:43:52,070 INFO [探索] matcha cafe NY | start=1
2025-08-19 22:43:52,070 INFO [探索] matcha cafe NY | start=11
2025-08-19 22:43:52,070 INFO [探索] matcha cafe NY | start=21
2025-08-19 22:43:52,070 INFO [探索] matcha latte cafe TX | start=1
2025-08-19 22:43:52,070 INFO [探索] matcha latte cafe TX | start=11
2025-08-19 22:43:52,070 INFO [探索] matcha latte cafe TX | start=21
2025-08-19 22:43:52,070 INFO [探索] matcha cafe TX | start=1
2025-08-19 22:43:52,070 INFO [探索] matcha cafe TX | start=11
2025-08-19 22:43:52,071 INFO [探索] matcha cafe TX | start=21
2025-08-19 22:43:52,071 INFO [探索] matcha latte cafe WA | start=1
2025-08-19 22:43:52,071 INFO [探索] matcha latte cafe WA | start=11
2025-08-19 22:43:52,071 INFO [探索] matcha latte cafe WA | start=21
2025-08-19 22:43:52,071 INFO [探索] matcha cafe WA | start=1
2025-08-19 22:43:52,071 INFO [探索] matcha cafe WA | start=11
2025-08-19 22:43:52,071 INFO [探索] matcha cafe WA | start=21
2025-08-19 22:43:52,071 INFO [探索] matcha latte cafe IL | start=1
2025-08-19 22:43:52,071 INFO [探索] matcha latte cafe IL | start=11
2025-08-19 22:43:52,071 INFO [探索] matcha latte cafe IL | start=21
2025-08-19 22:43:52,072 INFO [探索] matcha cafe IL | start=1
2025-08-19 22:43:52,072 INFO [探索] matcha cafe IL | start=11
2025-08-19 22:43:52,072 INFO [探索] matcha cafe IL | start=21
2025-08-19 22:43:52,072 INFO [探索] matcha latte cafe FL | start=1
2025-08-19 22:43:52,072 INFO [探索] matcha latte cafe FL | start=11
2025-08-19 22:43:52,072 INFO [探索] matcha latte cafe FL | start=21
2025-08-19 22:43:52,072 INFO [探索] matcha cafe FL | start=1
2025-08-19 22:43:52,072 INFO [探索] matcha cafe FL | start=11
2025-08-19 22:43:52,072 INFO [探索] matcha cafe FL | start=21
2025-08-19 22:43:52,072 INFO [探索] matcha latte cafe CA | start=1
2025-08-19 22:43:52,072 INFO [探索] matcha latte cafe CA | start=11
2025-08-19 22:43:52,073 INFO [探索] matcha latte cafe CA | start=21
2025-08-19 22:43:52,073 INFO [探索] matcha cafe CA | start=1
2025-08-19 22:43:52,073 INFO [探索] matcha cafe CA | start=11
2025-08-19 22:43:52,073 INFO [探索] matcha cafe CA | start=21
2025-08-19 22:43:52,073 INFO [探索] matcha latte cafe NY | start=1
2025-08-19 22:43:52,073 INFO [探索] matcha latte cafe NY | start=11
2025-08-19 22:43:52,073 INFO [探索] matcha latte cafe NY | start=21
2025-08-19 22:43:52,073 INFO [探索] matcha cafe NY | start=1
2025-08-19 22:43:52,073 INFO [探索] matcha cafe NY | start=11
2025-08-19 22:43:52,073 INFO [探索] matcha cafe NY | start=21
2025-08-19 22:43:52,073 INFO [探索] matcha latte cafe TX | start=1
2025-08-19 22:43:52,073 INFO [探索] matcha latte cafe TX | start=11
2025-08-19 22:43:52,074 INFO [探索] matcha latte cafe TX | start=21
2025-08-19 22:43:52,074 INFO [探索] matcha cafe TX | start=1
2025-08-19 22:43:52,074 INFO [探索] matcha cafe TX | start=11
2025-08-19 22:43:52,074 INFO [探索] matcha cafe TX | start=21
2025-08-19 22:43:52,074 INFO [探索] matcha latte cafe WA | start=1
2025-08-19 22:43:52,074 INFO [探索] matcha latte cafe WA | start=11
2025-08-19 22:43:52,074 INFO [探索] matcha latte cafe WA | start=21
2025-08-19 22:43:52,074 INFO [探索] matcha cafe WA | start=1
2025-08-19 22:43:52,074 INFO [探索] matcha cafe WA | start=11
2025-08-19 22:43:52,074 INFO [探索] matcha cafe WA | start=21
2025-08-19 22:43:52,074 INFO [探索] matcha latte cafe IL | start=1
2025-08-19 22:43:52,075 INFO [探索] matcha latte cafe IL | start=11
2025-08-19 22:43:52,075 INFO [探索] matcha latte cafe IL | start=21
2025-08-19 22:43:52,075 INFO [探索] matcha cafe IL | start=1
2025-08-19 22:43:52,075 INFO [探索] matcha cafe IL | start=11
2025-08-19 22:43:52,075 INFO [探索] matcha cafe IL | start=21
2025-08-19 22:43:52,075 INFO [探索] matcha latte cafe FL | start=1
2025-08-19 22:43:52,075 INFO [探索] matcha latte cafe FL | start=11
2025-08-19 22:43:52,075 INFO [探索] matcha latte cafe FL | start=21
2025-08-19 22:43:52,075 INFO [探索] matcha cafe FL | start=1
2025-08-19 22:43:52,075 INFO [探索] matcha cafe FL | start=11
2025-08-19 22:43:52,075 INFO [探索] matcha cafe FL | start=21
2025-08-19 22:43:52,075 INFO [探索] matcha latte cafe CA | start=1
2025-08-19 22:43:52,076 INFO [探索] matcha latte cafe CA | start=11
2025-08-19 22:43:52,076 INFO [探索] matcha latte cafe CA | start=21
2025-08-19 22:43:52,076 INFO [探索] matcha cafe CA | start=1
2025-08-19 22:43:52,076 INFO [探索] matcha cafe CA | start=11
2025-08-19 22:43:52,076 INFO [探索] matcha cafe CA | start=21
2025-08-19 22:43:52,076 INFO [探索] matcha latte cafe NY | start=1
2025-08-19 22:43:52,076 INFO [探索] matcha latte cafe NY | start=11
2025-08-19 22:43:52,076 INFO [探索] matcha latte cafe NY | start=21
2025-08-19 22:43:52,076 INFO [探索] matcha cafe NY | start=1
2025-08-19 22:43:52,076 INFO [探索] matcha cafe NY | start=11
2025-08-19 22:43:52,076 INFO [探索] matcha cafe NY | start=21
2025-08-19 22:43:52,076 INFO [探索] matcha latte cafe TX | start=1
2025-08-19 22:43:52,077 INFO [探索] matcha latte cafe TX | start=11
2025-08-19 22:43:52,077 INFO [探索] matcha latte cafe TX | start=21
2025-08-19 22:43:52,077 INFO [探索] matcha cafe TX | start=1
2025-08-19 22:43:52,077 INFO [探索] matcha cafe TX | start=11
2025-08-19 22:43:52,077 INFO [探索] matcha cafe TX | start=21
2025-08-19 22:43:52,077 INFO [探索] matcha latte cafe WA | start=1
2025-08-19 22:43:52,077 INFO [探索] matcha latte cafe WA | start=11
2025-08-19 22:43:52,077 INFO [探索] matcha latte cafe WA | start=21
2025-08-19 22:43:52,077 INFO [探索] matcha cafe WA | start=1
2025-08-19 22:43:52,077 INFO [探索] matcha cafe WA | start=11
2025-08-19 22:43:52,078 INFO [探索] matcha cafe WA | start=21
2025-08-19 22:43:52,078 INFO [探索] matcha latte cafe IL | start=1
2025-08-19 22:43:52,078 INFO [探索] matcha latte cafe IL | start=11
2025-08-19 22:43:52,078 INFO [探索] matcha latte cafe IL | start=21
2025-08-19 22:43:52,078 INFO [探索] matcha cafe IL | start=1
2025-08-19 22:43:52,078 INFO [探索] matcha cafe IL | start=11
2025-08-19 22:43:52,078 INFO [探索] matcha cafe IL | start=21
2025-08-19 22:43:52,078 INFO [探索] matcha latte cafe FL | start=1
2025-08-19 22:43:52,078 INFO [探索] matcha latte cafe FL | start=11
2025-08-19 22:43:52,078 INFO [探索] matcha latte cafe FL | start=21
2025-08-19 22:43:52,078 INFO [探索] matcha cafe FL | start=1
2025-08-19 22:43:52,079 INFO [探索] matcha cafe FL | start=11
2025-08-19 22:43:52,079 INFO [探索] matcha cafe FL | start=21
2025-08-19 22:43:52,079 INFO [探索] matcha latte cafe CA | start=1
2025-08-19 22:43:52,079 INFO [探索] matcha latte cafe CA | start=11
2025-08-19 22:43:52,079 INFO [探索] matcha latte cafe CA | start=21
2025-08-19 22:43:52,079 INFO [探索] matcha cafe CA | start=1
2025-08-19 22:43:52,079 INFO [探索] matcha cafe CA | start=11
2025-08-19 22:43:52,079 INFO [探索] matcha cafe CA | start=21
2025-08-19 22:43:52,079 INFO [探索] matcha latte cafe NY | start=1
2025-08-19 22:43:52,079 INFO [探索] matcha latte cafe NY | start=11
2025-08-19 22:43:52,079 INFO [探索] matcha latte cafe NY | start=21
2025-08-19 22:43:52,080 INFO [探索] matcha cafe NY | start=1
2025-08-19 22:43:52,080 INFO [探索] matcha cafe NY | start=11
2025-08-19 22:43:52,080 INFO [探索] matcha cafe NY | start=21
2025-08-19 22:43:52,080 INFO [探索] matcha latte cafe TX | start=1
2025-08-19 22:43:52,080 INFO [探索] matcha latte cafe TX | start=11
2025-08-19 22:43:52,080 INFO [探索] matcha latte cafe TX | start=21
2025-08-19 22:43:52,080 INFO [探索] matcha cafe TX | start=1
2025-08-19 22:43:52,080 INFO [探索] matcha cafe TX | start=11
2025-08-19 22:43:52,080 INFO [探索] matcha cafe TX | start=21
2025-08-19 22:43:52,080 INFO [探索] matcha latte cafe WA | start=1
2025-08-19 22:43:52,080 INFO [探索] matcha latte cafe WA | start=11
2025-08-19 22:43:52,080 INFO [探索] matcha latte cafe WA | start=21
2025-08-19 22:43:52,081 INFO [探索] matcha cafe WA | start=1
2025-08-19 22:43:52,081 INFO [探索] matcha cafe WA | start=11
2025-08-19 22:43:52,081 INFO [探索] matcha cafe WA | start=21
2025-08-19 22:43:52,081 INFO [探索] matcha latte cafe IL | start=1
2025-08-19 22:43:52,081 INFO [探索] matcha latte cafe IL | start=11
2025-08-19 22:43:52,081 INFO [探索] matcha latte cafe IL | start=21
2025-08-19 22:43:52,081 INFO [探索] matcha cafe IL | start=1
2025-08-19 22:43:52,081 INFO [探索] matcha cafe IL | start=11
2025-08-19 22:43:52,081 INFO [探索] matcha cafe IL | start=21
2025-08-19 22:43:52,081 INFO [探索] matcha latte cafe FL | start=1
2025-08-19 22:43:52,081 INFO [探索] matcha latte cafe FL | start=11
2025-08-19 22:43:52,082 INFO [探索] matcha latte cafe FL | start=21
2025-08-19 22:43:52,082 INFO [探索] matcha cafe FL | start=1
2025-08-19 22:43:52,082 INFO [探索] matcha cafe FL | start=11
2025-08-19 22:43:52,082 INFO [探索] matcha cafe FL | start=21
2025-08-19 22:43:52,082 INFO [探索] matcha latte cafe CA | start=1
2025-08-19 22:43:52,082 INFO [探索] matcha latte cafe CA | start=11
2025-08-19 22:43:52,082 INFO [探索] matcha latte cafe CA | start=21
2025-08-19 22:43:52,082 INFO [探索] matcha cafe CA | start=1
2025-08-19 22:43:52,082 INFO [探索] matcha cafe CA | start=11
2025-08-19 22:43:52,082 INFO [探索] matcha cafe CA | start=21
2025-08-19 22:43:52,082 INFO [探索] matcha latte cafe NY | start=1
2025-08-19 22:43:52,082 INFO [探索] matcha latte cafe NY | start=11
2025-08-19 22:43:52,083 INFO [探索] matcha latte cafe NY | start=21
2025-08-19 22:43:52,083 INFO [探索] matcha cafe NY | start=1
2025-08-19 22:43:52,083 INFO [探索] matcha cafe NY | start=11
2025-08-19 22:43:52,083 INFO [探索] matcha cafe NY | start=21
2025-08-19 22:43:52,083 INFO [探索] matcha latte cafe TX | start=1
2025-08-19 22:43:52,083 INFO [探索] matcha latte cafe TX | start=11
2025-08-19 22:43:52,083 INFO [探索] matcha latte cafe TX | start=21
2025-08-19 22:43:52,083 INFO [探索] matcha cafe TX | start=1
2025-08-19 22:43:52,083 INFO [探索] matcha cafe TX | start=11
2025-08-19 22:43:52,083 INFO [探索] matcha cafe TX | start=21
2025-08-19 22:43:52,083 INFO [探索] matcha latte cafe WA | start=1
2025-08-19 22:43:52,084 INFO [探索] matcha latte cafe WA | start=11
2025-08-19 22:43:52,084 INFO [探索] matcha latte cafe WA | start=21
2025-08-19 22:43:52,084 INFO [探索] matcha cafe WA | start=1
2025-08-19 22:43:52,084 INFO [探索] matcha cafe WA | start=11
2025-08-19 22:43:52,084 INFO [探索] matcha cafe WA | start=21
2025-08-19 22:43:52,084 INFO [探索] matcha latte cafe IL | start=1
2025-08-19 22:43:52,084 INFO [探索] matcha latte cafe IL | start=11
2025-08-19 22:43:52,084 INFO [探索] matcha latte cafe IL | start=21
2025-08-19 22:43:52,084 INFO [探索] matcha cafe IL | start=1
2025-08-19 22:43:52,084 INFO [探索] matcha cafe IL | start=11
2025-08-19 22:43:52,084 INFO [探索] matcha cafe IL | start=21
2025-08-19 22:43:52,084 INFO [探索] matcha latte cafe FL | start=1
2025-08-19 22:43:52,085 INFO [探索] matcha latte cafe FL | start=11
2025-08-19 22:43:52,085 INFO [探索] matcha latte cafe FL | start=21
2025-08-19 22:43:52,085 INFO [探索] matcha cafe FL | start=1
2025-08-19 22:43:52,085 INFO [探索] matcha cafe FL | start=11
2025-08-19 22:43:52,085 INFO [探索] matcha cafe FL | start=21
2025-08-19 22:43:52,085 INFO [探索] matcha latte cafe CA | start=1
2025-08-19 22:43:52,085 INFO [探索] matcha latte cafe CA | start=11
2025-08-19 22:43:52,085 INFO [探索] matcha latte cafe CA | start=21
2025-08-19 22:43:52,085 INFO [探索] matcha cafe CA | start=1
2025-08-19 22:43:52,085 INFO [探索] matcha cafe CA | start=11
2025-08-19 22:43:52,085 INFO [探索] matcha cafe CA | start=21
2025-08-19 22:43:52,086 INFO [探索] matcha latte cafe NY | start=1
2025-08-19 22:43:52,086 INFO [探索] matcha latte cafe NY | start=11
2025-08-19 22:43:52,086 INFO [探索] matcha latte cafe NY | start=21
2025-08-19 22:43:52,086 INFO [探索] matcha cafe NY | start=1
2025-08-19 22:43:52,086 INFO [探索] matcha cafe NY | start=11
2025-08-19 22:43:52,086 INFO [探索] matcha cafe NY | start=21
2025-08-19 22:43:52,086 INFO [探索] matcha latte cafe TX | start=1
2025-08-19 22:43:52,086 INFO [探索] matcha latte cafe TX | start=11
2025-08-19 22:43:52,086 INFO [探索] matcha latte cafe TX | start=21
2025-08-19 22:43:52,086 INFO [探索] matcha cafe TX | start=1
2025-08-19 22:43:52,086 INFO [探索] matcha cafe TX | start=11
2025-08-19 22:43:52,087 INFO [探索] matcha cafe TX | start=21
2025-08-19 22:43:52,087 INFO [探索] matcha latte cafe WA | start=1
2025-08-19 22:43:52,087 INFO [探索] matcha latte cafe WA | start=11
2025-08-19 22:43:52,087 INFO [探索] matcha latte cafe WA | start=21
2025-08-19 22:43:52,087 INFO [探索] matcha cafe WA | start=1
2025-08-19 22:43:52,087 INFO [探索] matcha cafe WA | start=11
2025-08-19 22:43:52,087 INFO [探索] matcha cafe WA | start=21
2025-08-19 22:43:52,087 INFO [探索] matcha latte cafe IL | start=1
2025-08-19 22:43:52,087 INFO [探索] matcha latte cafe IL | start=11
2025-08-19 22:43:52,087 INFO [探索] matcha latte cafe IL | start=21
2025-08-19 22:43:52,087 INFO [探索] matcha cafe IL | start=1
2025-08-19 22:43:52,087 INFO [探索] matcha cafe IL | start=11
2025-08-19 22:43:52,088 INFO [探索] matcha cafe IL | start=21
2025-08-19 22:43:52,088 INFO [探索] matcha latte cafe FL | start=1
2025-08-19 22:43:52,088 INFO [探索] matcha latte cafe FL | start=11
2025-08-19 22:43:52,088 INFO [探索] matcha latte cafe FL | start=21
2025-08-19 22:43:52,088 INFO [探索] matcha cafe FL | start=1
2025-08-19 22:43:52,088 INFO [探索] matcha cafe FL | start=11
2025-08-19 22:43:52,088 INFO [探索] matcha cafe FL | start=21
2025-08-19 22:43:52,088 INFO [探索] matcha latte cafe CA | start=1
2025-08-19 22:43:52,088 INFO [探索] matcha latte cafe CA | start=11
2025-08-19 22:43:52,088 INFO [探索] matcha latte cafe CA | start=21
2025-08-19 22:43:52,088 INFO [探索] matcha cafe CA | start=1
2025-08-19 22:43:52,089 INFO [探索] matcha cafe CA | start=11
2025-08-19 22:43:52,089 INFO [探索] matcha cafe CA | start=21
2025-08-19 22:43:52,089 INFO [探索] matcha latte cafe NY | start=1
2025-08-19 22:43:52,089 INFO [探索] matcha latte cafe NY | start=11
2025-08-19 22:43:52,089 INFO [探索] matcha latte cafe NY | start=21
2025-08-19 22:43:52,089 INFO [探索] matcha cafe NY | start=1
2025-08-19 22:43:52,089 INFO [探索] matcha cafe NY | start=11
2025-08-19 22:43:52,089 INFO [探索] matcha cafe NY | start=21
2025-08-19 22:43:52,089 INFO [探索] matcha latte cafe TX | start=1
2025-08-19 22:43:52,089 INFO [探索] matcha latte cafe TX | start=11
2025-08-19 22:43:52,089 INFO [探索] matcha latte cafe TX | start=21
2025-08-19 22:43:52,089 INFO [探索] matcha cafe TX | start=1
2025-08-19 22:43:52,090 INFO [探索] matcha cafe TX | start=11
2025-08-19 22:43:52,090 INFO [探索] matcha cafe TX | start=21
2025-08-19 22:43:52,090 INFO [探索] matcha latte cafe WA | start=1
2025-08-19 22:43:52,090 INFO [探索] matcha latte cafe WA | start=11
2025-08-19 22:43:52,090 INFO [探索] matcha latte cafe WA | start=21
2025-08-19 22:43:52,090 INFO [探索] matcha cafe WA | start=1
2025-08-19 22:43:52,090 INFO [探索] matcha cafe WA | start=11
2025-08-19 22:43:52,090 INFO [探索] matcha cafe WA | start=21
2025-08-19 22:43:52,090 INFO [探索] matcha latte cafe IL | start=1
2025-08-19 22:43:52,090 INFO [探索] matcha latte cafe IL | start=11
2025-08-19 22:43:52,090 INFO [探索] matcha latte cafe IL | start=21
2025-08-19 22:43:52,090 INFO [探索] matcha cafe IL | start=1
2025-08-19 22:43:52,091 INFO [探索] matcha cafe IL | start=11
2025-08-19 22:43:52,091 INFO [探索] matcha cafe IL | start=21
2025-08-19 22:43:52,091 INFO [探索] matcha latte cafe FL | start=1
2025-08-19 22:43:52,091 INFO [探索] matcha latte cafe FL | start=11
2025-08-19 22:43:52,091 INFO [探索] matcha latte cafe FL | start=21
2025-08-19 22:43:52,091 INFO [探索] matcha cafe FL | start=1
2025-08-19 22:43:52,091 INFO [探索] matcha cafe FL | start=11
2025-08-19 22:43:52,091 INFO [探索] matcha cafe FL | start=21
2025-08-19 22:43:52,091 INFO [探索] matcha latte cafe CA | start=1
2025-08-19 22:43:52,091 INFO [探索] matcha latte cafe CA | start=11
2025-08-19 22:43:52,091 INFO [探索] matcha latte cafe CA | start=21
2025-08-19 22:43:52,092 INFO [探索] matcha cafe CA | start=1
2025-08-19 22:43:52,092 INFO [探索] matcha cafe CA | start=11
2025-08-19 22:43:52,092 INFO [探索] matcha cafe CA | start=21
2025-08-19 22:43:52,092 INFO [探索] matcha latte cafe NY | start=1
2025-08-19 22:43:52,092 INFO [探索] matcha latte cafe NY | start=11
2025-08-19 22:43:52,092 INFO [探索] matcha latte cafe NY | start=21
2025-08-19 22:43:52,092 INFO [探索] matcha cafe NY | start=1
2025-08-19 22:43:52,092 INFO [探索] matcha cafe NY | start=11
2025-08-19 22:43:52,092 INFO [探索] matcha cafe NY | start=21
2025-08-19 22:43:52,092 INFO [探索] matcha latte cafe TX | start=1
2025-08-19 22:43:52,092 INFO [探索] matcha latte cafe TX | start=11
2025-08-19 22:43:52,093 INFO [探索] matcha latte cafe TX | start=21
2025-08-19 22:43:52,093 INFO [探索] matcha cafe TX | start=1
2025-08-19 22:43:52,093 INFO [探索] matcha cafe TX | start=11
2025-08-19 22:43:52,093 INFO [探索] matcha cafe TX | start=21
2025-08-19 22:43:52,093 INFO [探索] matcha latte cafe WA | start=1
2025-08-19 22:43:52,093 INFO [探索] matcha latte cafe WA | start=11
2025-08-19 22:43:52,093 INFO [探索] matcha latte cafe WA | start=21
2025-08-19 22:43:52,093 INFO [探索] matcha cafe WA | start=1
2025-08-19 22:43:52,093 INFO [探索] matcha cafe WA | start=11
2025-08-19 22:43:52,093 INFO [探索] matcha cafe WA | start=21
2025-08-19 22:43:52,093 INFO [探索] matcha latte cafe IL | start=1
2025-08-19 22:43:52,093 INFO [探索] matcha latte cafe IL | start=11
2025-08-19 22:43:52,094 INFO [探索] matcha latte cafe IL | start=21
2025-08-19 22:43:52,094 INFO [探索] matcha cafe IL | start=1
2025-08-19 22:43:52,094 INFO [探索] matcha cafe IL | start=11
2025-08-19 22:43:52,094 INFO [探索] matcha cafe IL | start=21
2025-08-19 22:43:52,094 INFO [探索] matcha latte cafe FL | start=1
2025-08-19 22:43:52,094 INFO [探索] matcha latte cafe FL | start=11
2025-08-19 22:43:52,094 INFO [探索] matcha latte cafe FL | start=21
2025-08-19 22:43:52,094 INFO [探索] matcha cafe FL | start=1
2025-08-19 22:43:52,094 INFO [探索] matcha cafe FL | start=11
2025-08-19 22:43:52,094 INFO [探索] matcha cafe FL | start=21
2025-08-19 22:43:52,094 INFO [探索] matcha latte cafe CA | start=1
2025-08-19 22:43:52,095 INFO [探索] matcha latte cafe CA | start=11
2025-08-19 22:43:52,095 INFO [探索] matcha latte cafe CA | start=21
2025-08-19 22:43:52,095 INFO [探索] matcha cafe CA | start=1
2025-08-19 22:43:52,095 INFO [探索] matcha cafe CA | start=11
2025-08-19 22:43:52,095 INFO [探索] matcha cafe CA | start=21
2025-08-19 22:43:52,095 INFO [探索] matcha latte cafe NY | start=1
2025-08-19 22:43:52,095 INFO [探索] matcha latte cafe NY | start=11
2025-08-19 22:43:52,095 INFO [探索] matcha latte cafe NY | start=21
2025-08-19 22:43:52,095 INFO [探索] matcha cafe NY | start=1
2025-08-19 22:43:52,095 INFO [探索] matcha cafe NY | start=11
2025-08-19 22:43:52,095 INFO [探索] matcha cafe NY | start=21
